source,target
"Thank you so much, Chris.","Cám ơn rất nhiều, Chris."
And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.,Đây thật sự là một vinh hạnh lớn cho tôi khi có cơ hội được đứng trên sân khấu này hai lần; Tôi thật sự rất cảm kích.
"I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.","Tôi thực sự bị choáng ngợp bởi hội nghị này, và tôi muốn cám ơn tất cả các bạn vì rất nhiều nhận xét tốt đẹp về những gì tôi đã trình bày đêm hôm trước."
"And I say that sincerely, partly because (Mock sob) I need that.","Tôi nói điều này thật lòng, một phần bởi vì (giả bộ nấc) Tôi cần nó."
(Laughter) Put yourselves in my position.,(Cười) Hãy thử đặt mình vào vị trí của tôi xem.
(Laughter) I flew on Air Force Two for eight years.,(Cười) Tôi đã bay trên chiếc Không lực Hai trong tám năm.
(Laughter) Now I have to take off my shoes or boots to get on an airplane!,(Cười) Giờ thì tôi phải cởi giầy hay bốt của mình để được lên máy bay!
(Laughter) (Applause) I'll tell you one quick story to illustrate what that's been like for me.,(Cười) (Vỗ tay) Tôi sẽ kể nhanh một câu chuyện để các bạn thấy sự thay đổi đó đối với tôi như thế nào.
(Laughter) It's a true story -- every bit of this is true.,(Cười) Câu chuyện này là có thật -- đến từng chi tiết.
Soon after Tipper and I left the -- (Mock sob) White House -- (Laughter) we were driving from our home in Nashville to a little farm we have 50 miles east of Nashville.,Ngay sau khi Tipper và tôi rời khỏi -- (giả bộ nức nở) Nhà Trắng -- (Cười) chúng tôi lái xe từ ngôi nhà ở Nashville tới một trang trại nhỏ của mình cách Nashville 90km về phía Đông.
Driving ourselves.,Tự lái!
"(Laughter) I know it sounds like a little thing to you, but -- (Laughter) I looked in the rear-view mirror and all of a sudden it just hit me.","(Cười) Tôi biết với các bạn điều đó thật bình thường, nhưng -- (Cười) Tôi nhìn vào kính chiếu hậu và mọi thứ đột nhiên thức tỉnh tôi."
There was no motorcade back there.,Chẳng có đoàn hộ tống nào ở sau.
(Laughter) You've heard of phantom limb pain?,(Cười) Bạn đã nghe đến hiện tượng 'đau chi ma' chưa?
